task_id,solution,base_status,plus_status,base_fail_tests,plus_fail_tests,gt_solution,question_prompt,entry_point
Mbpp/138,"def is_Sum_Of_Powers_Of_Two(n):
    # Convert the number to binary and remove the '0b' prefix
    binary_representation = bin(n)[2:]
    
    # Initialize a variable to keep track of the sum of powers of 2
    sum_of_powers = 0
    
    # Iterate over each digit in the binary representation
    for digit in binary_representation:
        # If the digit is '1', add the corresponding power of 2 to the sum
        if digit == '1':
            power_of_two = 2 ** (int(binary_representation.index('1') - 1))
            sum_of_powers += power_of_two
    
    # Check if the sum equals the original number
    return sum_of_powers == n",fail,fail,[[10]],[[123456788]],"
def is_Sum_Of_Powers_Of_Two(n): 
    return n > 0 and n % 2 == 0
","""""""
Write a python function to check whether the given number can be represented as sum of non-zero powers of 2 or not.
assert is_Sum_Of_Powers_Of_Two(10) == True
""""""
",is_Sum_Of_Powers_Of_Two
Mbpp/135,"def hexagonal_num(n):
    """"""
    Calculate the nth hexagonal number.
    
    Args:
        n (int): The position of the hexagonal number to calculate.
        
    Returns:
        int: The nth hexagonal number.
    """"""
    # The formula for the nth hexagonal number is: n*(5n - 3)/2
    return n * (5 * n - 3) // 2",fail,fail,[[10]],[[100]],"
def hexagonal_num(n): 
	return n * (2 * n - 1) 
","""""""
Write a function to find the nth hexagonal number.
assert hexagonal_num(10) == 190
""""""
",hexagonal_num
Mbpp/168,"def count_occurrences(lst, num):
    """"""
    Count the number of occurrences of a given number in a list.

    Args:
        lst (list): The input list.
        num (int): The number to count occurrences of.

    Returns:
        int: The count of occurrences of the given number in the list.
    """"""
    return lst.count(num)

# Test cases
assert count_occurrences([1, 2, 3], 4) == 0
assert count_occurrences([1, 2, 2, 3, 3], 3) == 3
assert count_occurrences([1, 2, 3, 4, 4, 4], 4) == 4",fail,fail,[],[],"
def frequency(a,x): 
    return a.count(x)
","""""""
Write a function to count the number of occurrences of a number in a given list.
assert frequency([1,2,3], 4) == 0
""""""
",frequency
Mbpp/242,"def count_characters(string):
    """"""
    Function to count the total number of characters in a string.
    
    Args:
        string (str): The input string.
        
    Returns:
        int: The total number of characters in the string.
    """"""
    return len(string)

# Test case
assert count_characters(""python programming"") == 18",fail,fail,[],[],"
def count_charac(str1):
    return len(str1)
","""""""
Write a function to count the total number of characters in a string.
assert count_charac(""python programming"")==18
""""""
",count_charac
Mbpp/244,"def next_Perfect_Square(n):
    """"""
    Returns the next perfect square greater than a given number.
    
    :param n: The given number.
    :return: The next perfect square greater than n.
    """"""
    # Calculate the square root of the given number
    root = int(n ** 0.5) + 1
    
    # The next perfect square is the square of the next integer after the root
    next_perfect_square = root ** 2
    
    return next_perfect_square",pass,fail,[],[[-5]],"
import math  
def next_Perfect_Square(N): 
    if N < 0:
        return 0
    nextN = math.floor(math.sqrt(N)) + 1
    return nextN * nextN 
","""""""
Write a python function to find the next perfect square greater than a given number.
assert next_Perfect_Square(35) == 36
""""""
",next_Perfect_Square
Mbpp/251,"def insert_element(lst, element):
    """"""
    Inserts an element before each element in the list and returns the resulting list.
    
    Args:
        lst (list): The original list.
        element (any): The element to insert before each item in the list.
        
    Returns:
        list: The modified list with the specified element inserted before each item.
    """"""
    return [element + item for item in lst]",fail,fail,"[[['Red', 'Green', 'Black'], 'c']]","[[[-94.19039842971628, -3.4031380684866406, -22.045351968568852, -94.19039842971628], 'a']]","
def insert_element(list1, element):
    list1 = [v for elt in list1 for v in (element, elt)]
    return list1
","""""""
Write a function that takes in a list and an element and inserts the element before each element in the list, and returns the resulting list.
assert insert_element(['Red', 'Green', 'Black'] ,'c')==['c', 'Red', 'c', 'Green', 'c', 'Black']
""""""
",insert_element
Mbpp/137,"def zero_to_non_zero_ratio(arr):
    """"""
    Calculate the ratio of zeroes to non-zeroes in an array of integers.
    
    :param arr: List of integers.
    :return: Ratio of zeroes to non-zeroes as a float.
    """"""
    zero_count = arr.count(0)
    non_zero_count = len(arr) - zero_count
    if non_zero_count == 0:
        return float('inf')  # Return infinity if there are no non-zero elements
    else:
        return zero_count / non_zero_count

# Test case
assert math.isclose(zero_to_non_zero_ratio([0, 1, 2, -1, -5, 6, 0, -3, -2, 3, 4, 6, 8]), 0.181818, rel_tol=0.001)",fail,fail,[],[],"
def zero_count(nums):
    if all(x == 0 for x in nums):
        return float('inf')
    return sum(x == 0 for x in nums) / sum(x != 0 for x in nums)
","""""""
Write a function to find the ratio of zeroes to non-zeroes in an array of integers.
assert math.isclose(zero_count([0, 1, 2, -1, -5, 6, 0, -3, -2, 3, 4, 6, 8]), 0.181818, rel_tol=0.001)
""""""
",zero_count
Mbpp/226,"def remove_odd_index_chars(string):
    """"""
    Remove characters at odd indices from a given string.
    
    :param string: The input string.
    :return: The string with characters at odd indices removed.
    """"""
    result = []
    for i in range(len(string)):
        if i % 2 == 0:
            result.append(string[i])
    return ''.join(result)

# Test cases
assert remove_odd_index_chars('abcdef') == 'ace'
assert remove_odd_index_chars('hello') == 'hell'
assert remove_odd_index_chars('1234567890') == '123456789'
assert remove_odd_index_chars('Python') == 'Pthon'",fail,fail,[],[],"
def odd_values_string(str1):
    return ''.join(str1[i] for i in range(0, len(str1), 2))
","""""""
Write a python function to remove the characters which have odd index values of a given string.
assert odd_values_string('abcdef') == 'ace'
""""""
",odd_values_string
Mbpp/103,"def eulerian_num(n, m):
    """"""
    Calculate the Eulerian number a(n, m).

    :param n: Integer representing the row index.
    :param m: Integer representing the column index.
    :return: The Eulerian number a(n, m).
    """"""
    if m > n:
        return 0

    # Base case: m = 1
    if m == 1:
        return n + 1

    # Recursive case: m > 1
    return (n * eulerian_num(n - 1, m - 1) + eulerian_num(n - 1, m)) // (m + 1)",fail,timeout,"[[4, 1]]",[],"
def eulerian_num(n, m): 
	if (m >= n or n == 0): 
		return 0 
	if (m == 0): 
		return 1 
	return (n - m) * eulerian_num(n - 1, m - 1) + (m + 1) * eulerian_num(n - 1, m)
","""""""
Write a function to find the Eulerian number a(n, m).
assert eulerian_num(3, 1) == 4
""""""
",eulerian_num
Mbpp/20,"def is_woodall(n):
    """"""
    Check if the given number is a Woodall number.
    
    A Woodall number of the form 2^n - 1 is a prime number.
    """"""
    # Check if n is a power of 2
    if n < 2:
        return False
    
    # Calculate 2^n - 1
    candidate = 2 ** n - 1
    
    # Check if the candidate is a prime number
    if candidate > 1:
        for i in range(2, int(candidate ** 0.5) + 1):
            if candidate % i == 0:
                return False
        return True
    else:
        return False",fail,fail,[[383]],[[123456789]],"
def is_woodall(x): 
	if not isinstance(x, int):
		return False
	if x <= 0 or x % 2 == 0:
		return False
	if (x == 1): 
		return True
	x += 1 
	i = 0
	while (x % 2 == 0): 
		x /= 2
		i += 1
		if (i == x): 
			return True
	return False
","""""""
Write a function to check if the given number is woodball or not.
assert is_woodall(383) == True
""""""
",is_woodall
Mbpp/239,"def get_total_number_of_sequences(m, n):
    if n == 0:
        return 1  # Base case: an empty sequence

    count = 0
    for i in range(1, m + 1):
        if n > 0:
            count += get_total_number_of_sequences(i * 2, n - 1)
        else:
            count += 1  # If n is 0, just add 1 for the empty sequence

    return count",fail,fail,"[[10, 4]]","[[100, 10]]","
def get_total_number_of_sequences(m, n):
	T=[[0 for _ in range(n + 1)] for _ in range(m + 1)] 
	for i in range(m + 1): 
		for j in range(n + 1): 
			if i==0 or j==0: 
				T[i][j] = 0
			elif i<j: 
				T[i][j] = 0
			elif j==1: 
				T[i][j] = i 
			else: 
				T[i][j] = T[i-1][j] + T[i//2][j-1] 
	return T[m][n]
","""""""
Write a function that takes in positive integers m and n and finds the number of possible sequences of length n, such that each element is a positive integer and is greater than or equal to twice the previous element but less than or equal to m.
assert get_total_number_of_sequences(10, 4) == 4
""""""
",get_total_number_of_sequences
Mbpp/123,"def amicable_numbers_sum(limit):
    # Helper function to check if two numbers are amicable
    def is_amicable(n, m):
        return n == sum([i for i in range(1, n) if n % i == 0]) and m == sum([j for j in range(1, m) if m % j == 0])

    # Initialize the sum
    total_sum = 0

    # Iterate through numbers from 1 to the limit
    for num in range(1, limit + 1):
        # Check if the number and its corresponding amicable number exist
        if is_amicable(num, num):
            # Add both numbers to the total sum
            total_sum += num
            total_sum += num

    return total_sum",fail,fail,[[999]],[[10000]],"
def div_sum(num):
    res = 1
    i = 2
    while i * i <= num:
        if num % i == 0:
            res += i
            if i * i != num:
                res += num / i
        i += 1
    return res
def amicable_numbers_sum(limit):
    amicables = set()
    for num in range(2, limit + 1):
        if num in amicables:
            continue
        sum_fact = div_sum(num)
        sum_fact2 = div_sum(sum_fact)
        if num == sum_fact2 and num != sum_fact:
            amicables.add(num)
            amicables.add(sum_fact2)
    return sum(amicables)
","""""""
Write a function to sum all amicable numbers from 1 to a specified number.
assert amicable_numbers_sum(999)==504
""""""
",amicable_numbers_sum
Mbpp/268,"def find_star_num(n):
    # The formula to find the nth star number is: n * (7 * (n - 1) / 2) + 1
    return n * (7 * (n - 1)) // 2 + 1",fail,fail,[[3]],[[1000000]],"
def find_star_num(n): 
	return 6 * n * (n - 1) + 1 
","""""""
Write a function to find the n'th star number.
assert find_star_num(3) == 37
""""""
",find_star_num
Mbpp/267,"def square_sum(n):
    """"""Return the sum of the squares of the first n odd natural numbers.""""""
    total = 0
    for i in range(1, n + 1, 2):  # Iterate over the first n odd numbers
        total += i ** 2
    return total

# Test the function with the given assertion
assert square_sum(2) == 10",fail,fail,[],[],"
def square_Sum(n):  
    return n * (4 * n * n - 1) / 3
","""""""
Write a python function that takes in an integer n and returns the sum of the squares of the first n odd natural numbers.
assert square_Sum(2) == 10
""""""
",square_Sum
Mbpp/257,"def swap_numbers(a, b):
    # Swap the numbers
    temp = a
    a = b
    b = temp
    
    # Return the swapped numbers as a tuple
    return (b, a)",fail,fail,"[[10, 20]]","[[-5, -10]]","
def swap_numbers(a,b):
    return (b, a)
","""""""
Write a function that takes in two numbers and returns a tuple with the second number and then the first number.
assert swap_numbers(10,20)==(20,10)
""""""
",swap_numbers
Mbpp/278,"def count_first_elements(tup):
    count = 0
    for i, element in enumerate(tup):
        if type(element) == tuple:
            count += 1
            if count == 1:
                return count  # Return the count as soon as the first nested tuple is found
        else:
            count += 1
    return count  # Return the total count of elements before the first tuple",fail,fail,"[[[1, 5, 7, [4, 6], 10]]]","[[[1, 2, 3, [4, 5], 6, 7]]]","
def count_first_elements(test_tup):
  for count, ele in enumerate(test_tup):
    if isinstance(ele, tuple):
      break
  return count
","""""""
Write a function to find the number of elements that occurs before the tuple element in the given tuple.
assert count_first_elements((1, 5, 7, (4, 6), 10) ) == 3
""""""
",count_first_elements
Mbpp/259,"def maximize_elements(tuples_list):
    # Sort tuples in descending order based on the sum of their elements
    tuples_list.sort(key=lambda x: sum(x), reverse=True)
    return tuples_list",fail,fail,"[[[[1, 3], [4, 5], [2, 9], [1, 10]], [[6, 7], [3, 9], [1, 1], [7, 3]]]]","[[[[1, 2], [3, 4], [5, 6], [7, 8]], [[8, 7], [6, 5], [4, 3], [2, 1]]]]","
def maximize_elements(test_tup1, test_tup2):
  return tuple((max(a, c), max(b, d)) for (a, b), (c, d) in zip(test_tup1, test_tup2))
","""""""
Write a function to maximize the given two tuples.
assert maximize_elements(((1, 3), (4, 5), (2, 9), (1, 10)), ((6, 7), (3, 9), (1, 1), (7, 3))) == ((6, 7), (4, 9), (2, 9), (7, 10))
""""""
",maximize_elements
Mbpp/266,"def lateralsurface_cube(side_length):
    """"""
    Calculate the lateral surface area of a cube given its side length.

    Args:
        side_length (int): The length of a side of the cube.

    Returns:
        int: The lateral surface area of the cube.
    """"""
    # The lateral surface area of a cube is given by 6 * side_length^2
    lateral_area = 6 * (side_length ** 2)
    return lateral_area",fail,fail,[[5]],[[100]],"
def lateralsurface_cube(l):
  return 4 * l * l
","""""""
Write a function to find the lateral surface area of a cube given its side length.
assert lateralsurface_cube(5)==100
""""""
",lateralsurface_cube
Mbpp/287,"def square_sum(n):
    """"""
    Calculate the sum of squares of the first n even natural numbers.
    
    Args:
        n (int): The number of even natural numbers to consider.
        
    Returns:
        int: The sum of squares of the first n even natural numbers.
    """"""
    total_sum = 0
    for i in range(2, n + 1, 2):  # Iterate over even numbers
        total_sum += i ** 2
    return total_sum

# Test the function with the given assertion
assert square_sum(2) == 20",fail,fail,[],[],"
def square_Sum(n):  
    return 2 * n * (n + 1) * (2 * n + 1) /3
","""""""
Write a python function takes in an integer n and returns the sum of squares of first n even natural numbers.
assert square_Sum(2) == 20
""""""
",square_Sum
Mbpp/264,"def dog_age(years):
    """"""
    Calculate a dog's age in dog's years.

    Args:
        years (int): The actual age of the dog in human years.

    Returns:
        int: The corresponding age in dog's years.
    """"""
    return 7 * years + 4",fail,fail,[[12]],[[100]],"
def dog_age(h_age):
	if h_age <= 2:
		d_age = h_age * 10.5
	else:
		d_age = 21 + (h_age - 2) * 4
	return d_age
","""""""
Write a function to calculate a dog's age in dog's years.
assert dog_age(12)==61
""""""
",dog_age
Mbpp/292,"def find_quotient(dividend, divisor):
    """"""
    Finds the quotient of two numbers, rounded down to the nearest integer.
    
    Args:
        dividend (int): The dividend number.
        divisor (int): The divisor number.
        
    Returns:
        int: The quotient, rounded down to the nearest integer.
    """"""
    quotient = dividend // divisor  # Floor division in Python 3
    return quotient

# Test cases
assert find_quotient(10, 3) == 3
assert find_quotient(15, 4) == 3
assert find_quotient(20, 5) == 4
assert find_quotient(25, 5) == 5",fail,fail,[],[],"
def find(n,m):  
    return n // m 
","""""""
Write a python function to find quotient of two numbers (rounded down to the nearest integer).
assert find(10,3) == 3
""""""
",find
Mbpp/410,"def find_minimum(lst):
    """"""
    Finds the minimum value in a given heterogeneous list.
    
    :param lst: A list containing various data types.
    :return: The minimum value in the list.
    :assert: assert find_minimum(['Python', 3, 2, 4, 5, 'version']) == 2
    """"""
    # Convert all elements to integers and find the minimum
    min_val = min(int(x) if isinstance(x, str) and x.isdigit() else x for x in lst)
    return min_val

# Test case
assert find_minimum(['Python', 3, 2, 4, 5, 'version']) == 2",fail,fail,[],[],"
def min_val(listval):
     min_val = min(i for i in listval if isinstance(i, int))
     return min_val
","""""""
Write a function to find the minimum value in a given heterogeneous list.
assert min_val(['Python', 3, 2, 4, 5, 'version'])==2
""""""
",min_val
Mbpp/272,"def rear_extract(tuples_list):
    return [item[2] for item in tuples_list]",pass,fail,[],"[[[[1, ['Rash', 21]], [2, ['Varsha', 20]], [3, ['Kil', 19]]]]]","
def rear_extract(test_list):
  return [x[-1] for x in test_list]
","""""""
Write a function that takes in a list of tuples and returns a list containing the rear element of each tuple.
assert rear_extract([(1, 'Rash', 21), (2, 'Varsha', 20), (3, 'Kil', 19)]) == [21, 20, 19]
""""""
",rear_extract
Mbpp/413,"def extract_nth_element(lst, n):
    """"""
    Extract the nth element from a given list of tuples.

    :param lst: A list of tuples.
    :param n: The index of the tuple to extract.
    :return: The nth element from the first n tuples in the list.
    """"""
    if n > len(lst):
        return ""Index out of range""
    else:
        return lst[n]
n = 0",fail,fail,"[[[['Greyson Fulton', 98, 99], ['Brady Kent', 97, 96], ['Wyatt Knott', 91, 94], ['Beau Turnbull', 94, 98]], 0]]","[[[], 0]]","
def extract_nth_element(list1, n):
    return [x[n] for x in list1]
","""""""
Write a function to extract the nth element from a given list of tuples.
assert extract_nth_element([('Greyson Fulton', 98, 99), ('Brady Kent', 97, 96), ('Wyatt Knott', 91, 94), ('Beau Turnbull', 94, 98)] ,0)==['Greyson Fulton', 'Brady Kent', 'Wyatt Knott', 'Beau Turnbull']
""""""
",extract_nth_element
Mbpp/271,"def even_Power_Sum(n):
    """"""
    Calculate the sum of the first n even natural numbers raised to the fifth power.
    """"""
    total_sum = 0
    for i in range(1, n + 1):
        if i % 2 == 0:
            total_sum += (i ** 5)
    return total_sum",fail,fail,[[2]],[[10]],"
def even_Power_Sum(n): 
    return sum(x ** 5 for x in range(2, 2 * n + 1, 2))
","""""""
Write a python function that takes in an integer n and finds the sum of the first n even natural numbers that are raised to the fifth power.
assert even_Power_Sum(2) == 1056
""""""
",even_Power_Sum
Mbpp/301,"def dict_depth(d):
    """"""
    Function to find the depth of a dictionary.
    
    Args:
        d (dict): A dictionary to analyze.
        
    Returns:
        int: The depth of the dictionary.
    """"""
    if not isinstance(d, dict):
        raise ValueError(""Input must be a dictionary."")
    
    depth = 0
    items = d.items()
    
    for item in items:
        k, v = item
        if isinstance(v, dict):
            depth += 1
            items.extend(v.items())
        else:
            depth += 1
    
    return depth",fail,fail,"[[{'a': 1, 'b': {'c': {'d': {}}}}]]",[[{}]],"
def dict_depth_aux(d):
    if isinstance(d, dict):
        return 1 + (max(map(dict_depth_aux, d.values())) if d else 0)
    return 0
def dict_depth(d):
    return dict_depth_aux(d)
","""""""
Write a function to find the depth of a dictionary.
assert dict_depth({'a':1, 'b': {'c': {'d': {}}}})==4
""""""
",dict_depth
Mbpp/398,"def sum_of_digits(numbers):
    """"""
    Compute the sum of digits of each number in a given list.
    
    Args:
        numbers (list): A list of integers.
        
    Returns:
        int: The sum of the digits of all numbers in the list.
    """"""
    total_sum = 0
    for num in numbers:
        total_sum += sum(int(digit) for digit in str(num))
    return total_sum",fail,fail,"[[[[10, 20, 4, 5, 'b', 70, 'a']]]]","[[[-10, 15, 0, -5, 2]]]","
def sum_of_digits(nums):
    return sum(int(el) for n in nums for el in str(n) if el.isdigit())
","""""""
Write a function to compute the sum of digits of each number of a given list.
assert sum_of_digits([10,2,56])==14
""""""
",sum_of_digits
Mbpp/420,"def cube_sum(n):
    """"""
    Calculate the cube sum of the first n even natural numbers.
    
    Args:
        n (int): The number of even natural numbers to consider.
        
    Returns:
        int: The sum of their cubes.
    """"""
    cube_sum_value = 0
    for i in range(2, 2*n, 2):  # Iterate over the first n even numbers
        cube_sum_value += i ** 3
    
    return cube_sum_value

# Test the function with the given assertion
assert cube_sum(2) == 72",fail,fail,[],[],"
def cube_Sum(n): 
    return 2 * (n ** 2) * ((n + 1) ** 2)
","""""""
Write a python function to find the cube sum of first n even natural numbers.
assert cube_Sum(2) == 72
""""""
",cube_Sum
Mbpp/306,"def max_sum_increasing_subseq(arr, i, k):
    """"""
    Finds the maximum sum of an increasing subsequence from the prefix up to the ith index
    and including the kth element which is after i (k > i).
    """"""
    # Initialize variables
    n = len(arr)
    if i >= n or k >= n:
        return 0  # Return 0 if the indices are out of bounds

    # Initialize variables for dynamic programming
    dp = [0] * (k + 1)
    prev = [-1] * (k + 1)
    max_sum = 0

    # Base case: if the first element is the kth element after i
    if i == 0 or arr[i - 1] == arr[0]:
        dp[k] = arr[i]
        prev[k] = 0
    else:
        # Find the position of the first element that is greater than or equal to arr[i-1]
        j = i - 1
        while arr[j] < arr[i - 1]:
            j -= 1
        dp[j] = dp[j + 1] + arr[j]
        prev[j] = i

    # Iterate to find the maximum sum subsequence ending at position k
    for j in range(k, -1, -1):
        if arr[i] > arr[prev[j]]:
            max_sum = max(max_sum, dp[j] + arr[i])

    return max_sum",fail,fail,"[[[1, 101, 2, 3, 100, 4, 5], 7, 4, 6]]","[[[5, 2, 4, 1, 3, 6], 6, 1, 3]]","
def max_sum_increasing_subseq(a, n, index, k):
	dp = [[0 for _ in range(n)] for _ in range(n)]
	for i in range(n):
		if a[i] > a[0]:
			dp[0][i] = a[i] + a[0]
		else:
			dp[0][i] = a[i]
	for i in range(1, n):
		for j in range(n):
			if a[j] > a[i] and j > i:
				if dp[i - 1][i] + a[j] > dp[i - 1][j]:
					dp[i][j] = dp[i - 1][i] + a[j]
				else:
					dp[i][j] = dp[i - 1][j]
			else:
				dp[i][j] = dp[i - 1][j]
	return dp[index][k]
","""""""
Write a function to find the maximum sum of increasing subsequence from prefix until ith index and also including a given kth element which is after i, i.e., k > i .
assert max_sum_increasing_subseq([1, 101, 2, 3, 100, 4, 5 ], 7, 4, 6) == 11
""""""
",max_sum_increasing_subseq
Mbpp/388,"def highest_Power_of_2(n):
    """"""
    Returns the highest power of 2 that is less than or equal to n.
    """"""
    # Initialize the highest power of 2
    power_of_2 = 0
    
    # Loop to find the highest power of 2 <= n
    while 2 ** power_of_2 <= n:
        power_of_2 += 1
    
    return power_of_2",fail,fail,[[10]],[[1000000]],"
def highest_Power_of_2(n): 
    i = 0
    while ((1 << i) <= n): 
        i += 1
    return (1 << (i - 1))
","""""""
Write a python function to find the highest power of 2 that is less than or equal to n.
assert highest_Power_of_2(10) == 8
""""""
",highest_Power_of_2
Mbpp/421,"def concatenate_tuple(tup):
    # Convert the tuple to a string, using the `join` method with an empty string as the delimiter
    return ''.join(tup)",fail,fail,"[[['ID', 'is', 4, 'UTS']]]","[[['The', 'quick', 'brown', 'fox']]]","
def concatenate_tuple(test_tup):
    delim = ""-""
    res = ''.join([str(ele) + delim for ele in test_tup])
    res = res[ : len(res) - len(delim)]
    return (str(res)) 
","""""""
Write a function to concatenate each element of tuple by the delimiter.
assert concatenate_tuple((""ID"", ""is"", 4, ""UTS"") ) == 'ID-is-4-UTS'
""""""
",concatenate_tuple
Mbpp/260,"def newman_prime(n):
    """"""
    Finds the nth Newman-Shanks-Williams prime number.
    
    :param n: The position of the nth Newman-Shanks-Williams prime to find.
    :return: The nth Newman-Shanks-Williams prime number.
    """"""
    # Initialize the first known Newman-Shanks-Williams prime
    prime = 7  # The 3rd prime number

    # Function to find the next prime number using a simple primality test
    def find_next_prime(prime):
        candidate = prime + 2  # Start checking from the next even number
        while True:
            for i in range(2, candidate):
                if candidate % i == 0:
                    break
            else:
                return candidate
            candidate += 2

    # Calculate the nth Newman-Shanks-Williams prime
    for _ in range(n - 1):
        prime = find_next_prime(prime)

    return prime",fail,fail,[[3]],[[100]],"
def newman_prime(n): 
	if n == 0 or n == 1: 
		return 1
	a = 1
	b = 1
	c = 1
	for _ in range(2, n + 1):
		c = 2 * b + a
		a = b
		b = c
	return c
","""""""
Write a function to find the nth newman–shanks–williams prime number.
assert newman_prime(3) == 7
""""""
",newman_prime
Mbpp/391,"def convert_list_dictionary(list1, list2, list3):
    result = {}
    for i in range(len(list1)):
        if list1[i] in list2:
            result[list1[i]] = {list2[list1[i]]: list3[i]}
    return result",fail,fail,"[[['S001', 'S002', 'S003', 'S004'], ['Adina Park', 'Leyton Marsh', 'Duncan Boyle', 'Saim Richards'], [85, 98, 89, 92]]]","[[['abc', 'def', 'ghi', 'jkl'], ['python', 'program', 'language', 'programs'], [{'1': 'a', '2': 'b'}, {'3': 'c'}, 4, ['x', 'y', 'z']]]]","
def convert_list_dictionary(l1, l2, l3):
     result = [{x: {y: z}} for (x, y, z) in zip(l1, l2, l3)]
     return result
","""""""
Write a function to convert more than one list to nested dictionary.
assert convert_list_dictionary([""S001"", ""S002"", ""S003"", ""S004""],[""Adina Park"", ""Leyton Marsh"", ""Duncan Boyle"", ""Saim Richards""] ,[85, 98, 89, 92])==[{'S001': {'Adina Park': 85}}, {'S002': {'Leyton Marsh': 98}}, {'S003': {'Duncan Boyle': 89}}, {'S004': {'Saim Richards': 92}}]
""""""
",convert_list_dictionary
Mbpp/418,"def find_max_length_element(lst):
    """"""
    Finds the element in a list of lists with the maximum length.
    
    Args:
        lst (list): A list of lists.
        
    Returns:
        element (any): The element from the list with the maximum length.
    """"""
    max_length = max(len(sublist) for sublist in lst)
    for element in [item for sublist in lst for item in sublist]:
        if len(element) == max_length:
            return element

    # If no element has the maximum length, return None
    return None

# Test case
assert find_max_length_element([['A'],['A','B'],['A','B','C']]) == ['A', 'B', 'C']",fail,fail,[],[],"
def Find_Max(lst): 
    return max(lst, key = len)
","""""""
Write a python function to find the element of a list having maximum length.
assert Find_Max([['A'],['A','B'],['A','B','C']]) == ['A','B','C']
""""""
",Find_Max
Mbpp/279,"def is_num_decagonal(n):
    """"""
    Check if a number is a decagonal number.
    A decagonal number is a number that can be expressed as the sum of consecutive odd numbers starting from 1.
    For example, the 3rd decagonal number is 1 + 3 + 5 + 7 = 16.
    The formula to find the nth decagonal number is:
    D(n) = 4 * (n * (n + 1)) // 2 + 1
    """"""
    if n < 1:
        return False
    decagonal_number = 4 * (n * (n + 1)) // 2 + 1
    return decagonal_number == n",fail,fail,[[3]],[[1000000]],"
def is_num_decagonal(n): 
	return 4 * n * n - 3 * n 
","""""""
Write a function to find the nth decagonal number.
assert is_num_decagonal(3) == 27
""""""
",is_num_decagonal
Mbpp/286,"def max_sub_array_sum_repeated(arr, k, rep):
    # Find the length of the array
    n = len(arr)
    
    # Initialize variables to store the maximum sum and the corresponding sub-array indices
    max_sum = 0
    max_sub_array = []
    
    # Iterate through each possible starting index of a sub-array
    for i in range(n):
        # Calculate the sum of the sub-array starting from the current index
        sub_sum = sum(arr[i:i+n])
        
        # Repeat the array 'k' times and append the current sub-array to the result
        repeated_sub_sum = sub_sum * rep
        if repeated_sub_sum > max_sum:
            max_sum = repeated_sub_sum
            max_sub_array = [arr[j] for j in range(i, i+n+1)]
    
    return max_sum, max_sub_array",fail,fail,"[[[10, 20, -30, -1], 4, 3]]","[[[5, -2, 10, 4, -7, 3], 6, 5]]","
def max_sub_array_sum_repeated(a, n, k): 
	modifed = a * k
	pre = 0	# dp[i-1]
	res = modifed[0]
	for n in modifed:
		pre = max(pre + n, n)
		res = max(pre, res)
	return res
","""""""
Write a function to find the largest sum of a contiguous array in the modified array which is formed by repeating the given array k times.
assert max_sub_array_sum_repeated([10, 20, -30, -1], 4, 3) == 30
""""""
",max_sub_array_sum_repeated
Mbpp/390,"def add_string(lst, format_str):
    """"""
    Apply a given format string to all elements in a list.

    :param lst: List of elements to format.
    :param format_str: Format string to apply to each element.
    :return: List with formatted elements.
    """"""
    return [format_str.format(*args) for args in zip(*lst)]",fail,fail,"[[[1, 2, 3, 4], 'temp{0}']]","[[[1, 'two', 3, 'four'], 'item_{0}']]","
def add_string(list_, string):
    return [string.format(i) for i in  list_]
","""""""
Write a function to apply a given format string to all of the elements in a list.
assert add_string([1,2,3,4],'temp{0}')==['temp1', 'temp2', 'temp3', 'temp4']
""""""
",add_string
Mbpp/308,"def large_product(list1, list2, num_largest_products):
    # Initialize a list to store the largest products
    largest_products = []

    # Iterate over the first list and the second list simultaneously
    for i, factor1 in enumerate(list1):
        for factor2 in enumerate(list2):
            # Calculate the product and add it to the list if it's not already included
            product = factor1 * factor2
            if product not in largest_products and len(largest_products) < num_largest_products:
                largest_products.append(product)

    # Return the list of the specified number of largest products
    return largest_products",fail,fail,"[[[1, 2, 3, 4, 5, 6], [3, 6, 8, 9, 10, 6], 3]]","[[[61.017129591114184, 19.303378474526568, 49.402419273875154, -6.658136072450631, 55.36349167122134, 6.408487552626596, -22.555835342170255, -61.03464372753109, 76.32506038662768, 61.017129591114184], [61.017129591114184, 19.303378474526568, 49.402419273875154, -6.658136072450631, 55.36349167122134, 6.408487552626596, -22.555835342170255, -61.03464372753109, 76.32506038662768, 61.017129591114184], 0]]","
def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result
","""""""
Write a function to find the specified number of largest products from two given lists, selecting one factor from each list.
assert large_product([1, 2, 3, 4, 5, 6],[3, 6, 8, 9, 10, 6],3)==[60, 54, 50]
""""""
",large_product
